POD,CPU,MEMORY,TIME,Resource,
frontend-767bb5b6b6-5fvdr,114,32Mi,1703210907,126.5060241,
frontend-767bb5b6b6-5fvdr,83,32Mi,1703210928,135.8768407,
frontend-767bb5b6b6-5fvdr,99,32Mi,1703210950,131.8607764,
frontend-767bb5b6b6-5fvdr,100,32Mi,1703210972,121.8206158,
frontend-767bb5b6b6-5fvdr,100,32Mi,1703210993,133.1994645,
frontend-767bb5b6b6-5fvdr,101,32Mi,1703211015,133.8688086,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703211036,134.5381526,
frontend-767bb5b6b6-5fvdr,85,32Mi,1703211058,131.1914324,
frontend-767bb5b6b6-5fvdr,85,32Mi,1703211080,120.4819277,
frontend-767bb5b6b6-5fvdr,80,32Mi,1703211101,113.7884873,
frontend-767bb5b6b6-5fvdr,90,32Mi,1703211123,110.4417671,
frontend-767bb5b6b6-5fvdr,93,32Mi,1703211144,113.7884873,
frontend-767bb5b6b6-5fvdr,98,32Mi,1703211166,122.4899598,
frontend-767bb5b6b6-5fvdr,87,32Mi,1703211187,127.8447122,
frontend-767bb5b6b6-5fvdr,113,33Mi,1703211209,123.8286479,
frontend-767bb5b6b6-5fvdr,79,33Mi,1703211230,133.8688086,
frontend-767bb5b6b6-5fvdr,120,33Mi,1703211252,128.5140562,
frontend-767bb5b6b6-5fvdr,88,33Mi,1703211274,133.1994645,
frontend-767bb5b6b6-5fvdr,91,33Mi,1703211295,139.2235609,
frontend-767bb5b6b6-5fvdr,106,33Mi,1703211317,119.8125837,
frontend-767bb5b6b6-5fvdr,94,33Mi,1703211338,131.8607764,
frontend-767bb5b6b6-5fvdr,79,33Mi,1703211360,133.8688086,
frontend-767bb5b6b6-5fvdr,96,33Mi,1703211381,115.7965194,
frontend-767bb5b6b6-5fvdr,87,33Mi,1703211403,117.1352075,
frontend-767bb5b6b6-5fvdr,97,33Mi,1703211425,122.4899598,
frontend-767bb5b6b6-5fvdr,91,33Mi,1703211446,123.1593039,
frontend-767bb5b6b6-5fvdr,77,33Mi,1703211468,125.8366801,
frontend-767bb5b6b6-5fvdr,85,33Mi,1703211489,112.4497992,
frontend-767bb5b6b6-5fvdr,98,33Mi,1703211511,108.4337349,
frontend-767bb5b6b6-5fvdr,88,33Mi,1703211532,122.4899598,
frontend-767bb5b6b6-5fvdr,83,33Mi,1703211554,124.497992,
frontend-767bb5b6b6-5fvdr,116,33Mi,1703211576,114.4578313,
frontend-767bb5b6b6-5fvdr,83,33Mi,1703211597,133.1994645,
frontend-767bb5b6b6-5fvdr,102,33Mi,1703211619,133.1994645,
frontend-767bb5b6b6-5fvdr,86,33Mi,1703211640,123.8286479,
frontend-767bb5b6b6-5fvdr,97,33Mi,1703211662,125.8366801,
frontend-767bb5b6b6-5fvdr,81,32Mi,1703211683,122.4899598,
frontend-767bb5b6b6-5fvdr,91,32Mi,1703211705,119.1432396,
frontend-767bb5b6b6-5fvdr,94,32Mi,1703211727,115.1271754,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703211748,123.8286479,
frontend-767bb5b6b6-5fvdr,86,32Mi,1703211770,126.5060241,
frontend-767bb5b6b6-5fvdr,105,32Mi,1703211791,121.1512718,
frontend-767bb5b6b6-5fvdr,91,32Mi,1703211813,127.8447122,
frontend-767bb5b6b6-5fvdr,90,32Mi,1703211834,131.1914324,
frontend-767bb5b6b6-5fvdr,104,32Mi,1703211856,121.1512718,
frontend-767bb5b6b6-5fvdr,84,33Mi,1703211878,129.8527443,
frontend-767bb5b6b6-5fvdr,112,33Mi,1703211899,125.8366801,
frontend-767bb5b6b6-5fvdr,93,33Mi,1703211921,131.1914324,
frontend-767bb5b6b6-5fvdr,120,33Mi,1703211942,137.2155288,
frontend-767bb5b6b6-5fvdr,97,33Mi,1703211964,142.5702811,
frontend-767bb5b6b6-5fvdr,126,33Mi,1703211985,145.2476573,
frontend-767bb5b6b6-5fvdr,92,33Mi,1703212007,149.2637216,
frontend-767bb5b6b6-5fvdr,95,33Mi,1703212029,145.9170013,
frontend-767bb5b6b6-5fvdr,105,33Mi,1703212050,125.167336,
frontend-767bb5b6b6-5fvdr,103,33Mi,1703212072,133.8688086,
frontend-767bb5b6b6-5fvdr,106,33Mi,1703212093,139.2235609,
frontend-767bb5b6b6-5fvdr,123,33Mi,1703212115,139.892905,
frontend-767bb5b6b6-5fvdr,103,33Mi,1703212137,153.2797858,
frontend-767bb5b6b6-5fvdr,96,33Mi,1703212158,151.2717537,
frontend-767bb5b6b6-5fvdr,91,33Mi,1703212180,133.1994645,
frontend-767bb5b6b6-5fvdr,91,33Mi,1703212201,125.167336,
frontend-767bb5b6b6-5fvdr,91,33Mi,1703212223,121.8206158,
frontend-767bb5b6b6-5fvdr,103,33Mi,1703212244,121.8206158,
frontend-767bb5b6b6-5fvdr,85,33Mi,1703212266,129.8527443,
frontend-767bb5b6b6-5fvdr,76,32Mi,1703212288,125.8366801,
frontend-767bb5b6b6-5fvdr,101,32Mi,1703212309,107.7643909,
frontend-767bb5b6b6-5fvdr,85,32Mi,1703212331,118.4738956,
frontend-767bb5b6b6-5fvdr,80,32Mi,1703212352,124.497992,
frontend-767bb5b6b6-5fvdr,91,32Mi,1703212374,110.4417671,
