POD,CPU,MEMORY,TIME,Resource,,,
frontend-767bb5b6b6-cjccz,82,29Mi,1703256222,112.926664,,,
frontend-767bb5b6b6-cjccz,79,29Mi,1703256244,109.7196732,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703256265,105.2964779,,,
frontend-767bb5b6b6-cjccz,83,29Mi,1703256287,122.540076,,,
frontend-767bb5b6b6-cjccz,87,29Mi,1703256308,119.959902,,,
frontend-767bb5b6b6-cjccz,96,29Mi,1703256330,115.1553066,,,
frontend-767bb5b6b6-cjccz,93,29Mi,1703256351,124.935711,,,
frontend-767bb5b6b6-cjccz,89,29Mi,1703256373,123.6607761,,,
frontend-767bb5b6b6-cjccz,94,29Mi,1703256394,119.039599,,,
frontend-767bb5b6b6-cjccz,82,29Mi,1703256416,125.0903926,,,
frontend-767bb5b6b6-cjccz,107,29Mi,1703256437,110.1409595,,,
frontend-767bb5b6b6-cjccz,107,29Mi,1703256459,119.708907,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703256481,143.4755991,,,
frontend-767bb5b6b6-cjccz,88,29Mi,1703256502,127.9449818,,,
frontend-767bb5b6b6-cjccz,112,29Mi,1703256524,117.7511358,,,
frontend-767bb5b6b6-cjccz,88,29Mi,1703256545,123.1339016,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703256567,126.1993015,,,
frontend-767bb5b6b6-cjccz,98,29Mi,1703256588,126.3600239,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703256610,129.5352527,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703256632,127.8392652,,,
frontend-767bb5b6b6-cjccz,102,29Mi,1703256653,125.7940144,,,
frontend-767bb5b6b6-cjccz,98,29Mi,1703256675,135.3584013,,,
frontend-767bb5b6b6-cjccz,109,29Mi,1703256696,130.0832658,,,
frontend-767bb5b6b6-cjccz,85,29Mi,1703256718,144.5317278,,,
frontend-767bb5b6b6-cjccz,104,29Mi,1703256740,131.3458126,,,
frontend-767bb5b6b6-cjccz,78,29Mi,1703256761,129.5821366,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703256783,124.6974732,,,
frontend-767bb5b6b6-cjccz,98,29Mi,1703256804,119.3348633,,,
frontend-767bb5b6b6-cjccz,77,29Mi,1703256826,129.9942265,,,
frontend-767bb5b6b6-cjccz,95,29Mi,1703256847,127.7562915,,,
frontend-767bb5b6b6-cjccz,86,29Mi,1703256869,109.4746377,,,
frontend-767bb5b6b6-cjccz,86,29Mi,1703256890,115.0416339,,,
frontend-767bb5b6b6-cjccz,107,29Mi,1703256912,114.2578223,,,
frontend-767bb5b6b6-cjccz,80,29Mi,1703256933,132.3625503,,,
